"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Проверка корректной авторизации с валидными учетными данными:
- Ввод корректного имени пользователя
- Ввод корректного пароля
- Проверка успешного сообщения
","1436","Тест успешной авторизации","tests","Sun Aug 24 11:21:46 UTC 2025","passed","Sun Aug 24 11:21:47 UTC 2025","","test_form","",""
"
Проверка обработки ошибки при вводе невалидных учетных данных:
- Ввод некорректного имени пользователя
- Ввод некорректного пароля
- Проверка сообщения об ошибке
","590","Тест неуспешной авторизации","tests","Sun Aug 24 11:21:48 UTC 2025","passed","Sun Aug 24 11:21:48 UTC 2025","","test_form","",""
